Category,Motivation,Label,Len,Text
physics,"""for his development of the Wilson cloud chamber method and his discoveries therewith in the fields of nuclear physics and cosmic radiation""",0,140,development Wilson cloud chamber method discoveries therewith fields nuclear physics cosmic radiation
medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",1,78,discovery therapeutic value leucotomy certain psychoses
chemistry,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",4,145,contributions field chemical thermodynamics particularly concerning behaviour substances extremely low temperatures
medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",1,126,discovery functional organization interbrain coordinator activities internal organs
literature,"""for his powerful and artistically unique contribution to the modern American novel""",3,84,powerful artistically unique contribution modern American novel
peace,"""for his lifelong effort to conquer hunger and want thereby helping to remove a major cause of military conflict and war""",2,121,lifelong effort conquer hunger want thereby helping remove major cause military conflict war
physics,"""for his prediction of the existence of mesons on the basis of theoretical work on nuclear forces""",0,98,prediction existence mesons basis theoretical work nuclear forces
literature,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",3,120,recognition varied significant writings champions humanitarian ideals freedom thought
peace,"""for his work as mediator in Palestine in 1948-1949""",2,52,work mediator Palestine 19481949
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",1,109,discoveries relating hormones adrenal cortex structure biological effects
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",1,109,discoveries relating hormones adrenal cortex structure biological effects
medicine,"""for their discoveries relating to the hormones of the adrenal cortex their structure and biological effects""",1,109,discoveries relating hormones adrenal cortex structure biological effects
chemistry,"""for their discovery and development of the diene synthesis""",4,60,discovery development diene synthesis
physics,"""for his development of the photographic method of studying nuclear processes and his discoveries regarding mesons made with this method""",0,137,development photographic method studying nuclear processes discoveries regarding mesons made method
chemistry,"""for their discovery and development of the diene synthesis""",4,60,discovery development diene synthesis
peace,"""for having devoted his life to the fight against war through the promotion of social justice and brotherhood among men and nations""",2,132,devoted life fight war promotion social justice brotherhood among men nations
literature,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",3,155,artistic vigour true independence mind endeavours poetry find answers eternal questions confronting mankind
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",0,107,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
physics,"""for their pioneer work on the transmutation of atomic nuclei by artificially accelerated atomic particles""",0,107,pioneer work transmutation atomic nuclei artificially accelerated atomic particles
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",4,69,discoveries chemistry transuranium elements
medicine,"""for his discoveries concerning yellow fever and how to combat it""",1,66,discoveries concerning yellow fever combat
chemistry,"""for their discoveries in the chemistry of the transuranium elements""",4,69,discoveries chemistry transuranium elements
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",0,122,development new methods nuclear magnetic precision measurements discoveries connection therewith
chemistry,"""for their invention of partition chromatography""",4,49,invention partition chromatography
peace,"""for his altruism reverence for life and tireless humanitarian work which has helped making the idea of brotherhood between men and nations a living one""",2,153,altruism reverence life tireless humanitarian work helped making idea brotherhood men nations living one
medicine,"""for his discovery of streptomycin the first antibiotic effective against tuberculosis""",1,87,discovery streptomycin first antibiotic effective tuberculosis
chemistry,"""for their invention of partition chromatography""",4,49,invention partition chromatography
physics,"""for their development of new methods for nuclear magnetic precision measurements and discoveries in connection therewith""",0,122,development new methods nuclear magnetic precision measurements discoveries connection therewith
literature,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",3,126,deep spiritual insight artistic intensity novels penetrated drama human life
peace,"""for proposing and supervising the plan for the economic recovery of Europe""",2,76,proposing supervising plan economic recovery Europe
medicine,"""for his discovery of the citric acid cycle""",1,44,discovery citric acid cycle
medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",1,81,discovery coenzyme importance intermediary metabolism
physics,"""for his demonstration of the phase contrast method especially for his invention of the phase contrast microscope""",0,114,demonstration phase contrast method especially invention phase contrast microscope
chemistry,"""for his discoveries in the field of macromolecular chemistry""",4,62,discoveries field macromolecular chemistry
literature,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",3,127,mastery historical biographical description well brilliant oratory defending exalted human values
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1,108,discovery ability poliomyelitis viruses grow cultures various types tissue
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1,108,discovery ability poliomyelitis viruses grow cultures various types tissue
medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",1,108,discovery ability poliomyelitis viruses grow cultures various types tissue
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",4,133,research nature chemical bond application elucidation structure complex substances
peace,"""for his fight against the nuclear arms race between East and West""",2,67,fight nuclear arms race East West
physics,"""for his fundamental research in quantum mechanics especially for his statistical interpretation of the wavefunction""",0,117,fundamental research quantum mechanics especially statistical interpretation wavefunction
physics,"""for the coincidence method and his discoveries made therewith""",0,63,coincidence method discoveries made therewith
literature,"""for his mastery of the art of narrative most recently demonstrated in <I>The Old Man and the Sea</I> and for the influence that he has exerted on contemporary style""",3,166,mastery art narrative recently demonstrated IThe Old Man SeaI influence exerted contemporary style
peace,"""for its efforts to heal the wounds of war by providing help and protection to refugees all over the world""",2,107,efforts heal wounds war providing help protection refugees world
peace,"""for promoting the fundamental rights of refugees""",2,50,promoting fundamental rights refugees
literature,"""for his vivid epic power which has renewed the great narrative art of Iceland""",3,79,vivid epic power renewed great narrative art Iceland
physics,"""for his precision determination of the magnetic moment of the electron""",0,72,precision determination magnetic moment electron
physics,"""for his discoveries concerning the fine structure of the hydrogen spectrum""",0,76,discoveries concerning fine structure hydrogen spectrum
medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",1,83,discoveries concerning nature mode action oxidation enzymes
chemistry,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",4,119,work biochemically important sulphur compounds especially first synthesis polypeptide hormone
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1,107,discoveries concerning heart catheterization pathological changes circulatory system
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1,107,discoveries concerning heart catheterization pathological changes circulatory system
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",0,85,researches semiconductors discovery transistor effect
chemistry,"""for their researches into the mechanism of chemical reactions""",4,63,researches mechanism chemical reactions
chemistry,"""for their researches into the mechanism of chemical reactions""",4,63,researches mechanism chemical reactions
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",0,85,researches semiconductors discovery transistor effect
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",0,87,jointly developed theory superconductivity usually called BCStheory
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",0,85,researches semiconductors discovery transistor effect
medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",1,107,discoveries concerning heart catheterization pathological changes circulatory system
literature,"""for his lyrical poetry which in Spanish language constitutes an example of high spirit and artistical purity""",3,110,lyrical poetry Spanish language constitutes example high spirit artistical purity
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",0,140,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
peace,"""for his crucial contribution to the deployment of a United Nations Emergency Force in the wake of the Suez Crisis""",2,115,crucial contribution deployment United Nations Emergency Force wake Suez Crisis
chemistry,"""for his work on nucleotides and nucleotide co-enzymes""",4,55,work nucleotides nucleotide coenzymes
physics,"""for their penetrating investigation of the so-called parity laws which has led to important discoveries regarding the elementary particles""",0,140,penetrating investigation socalled parity laws led important discoveries regarding elementary particles
literature,"""for his important literary production which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",3,138,important literary production clearsighted earnestness illuminates problems human conscience times
medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances and especially their action on the vascular system and the skeletal muscles""",1,180,discoveries relating synthetic compounds inhibit action certain body substances especially action vascular system skeletal muscles
chemistry,"""for his work on the structure of proteins especially that of insulin""",4,70,work structure proteins especially insulin
chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",4,89,contributions concerning determination base sequences nucleic acids
peace,"""for his efforts to help refugees to leave their camps and return to a life of freedom and dignity""",2,99,efforts help refugees leave camps return life freedom dignity
medicine,"""for their discovery that genes act by regulating definite chemical events""",1,75,discovery genes act regulating definite chemical events
medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",1,111,discoveries concerning genetic recombination organization genetic material bacteria
literature,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",3,120,important achievement contemporary lyrical poetry field great Russian epic tradition
physics,"""for the discovery and the interpretation of the Cherenkov effect""",0,66,discovery interpretation Cherenkov effect
physics,"""for the discovery and the interpretation of the Cherenkov effect""",0,66,discovery interpretation Cherenkov effect
physics,"""for the discovery and the interpretation of the Cherenkov effect""",0,66,discovery interpretation Cherenkov effect
medicine,"""for their discovery that genes act by regulating definite chemical events""",1,75,discovery genes act regulating definite chemical events
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1,113,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
chemistry,"""for his discovery and development of the polarographic methods of analysis""",4,76,discovery development polarographic methods analysis
physics,"""for their discovery of the antiproton""",0,39,discovery antiproton
physics,"""for their discovery of the antiproton""",0,39,discovery antiproton
medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",1,113,discovery mechanisms biological synthesis ribonucleic acid deoxyribonucleic acid
peace,"""for his longstanding contribution to the cause of disarmament and peace""",2,73,longstanding contribution cause disarmament peace
literature,"""for his lyrical poetry which with classical fire expresses the tragic experience of life in our own times""",3,107,lyrical poetry classical fire expresses tragic experience life times
medicine,"""for discovery of acquired immunological tolerance""",1,51,discovery acquired immunological tolerance
physics,"""for the invention of the bubble chamber""",0,41,invention bubble chamber
medicine,"""for discovery of acquired immunological tolerance""",1,51,discovery acquired immunological tolerance
literature,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",3,129,soaring flight evocative imagery poetry visionary fashion reflects conditions time
peace,"""for his non-violent struggle against apartheid""",2,48,nonviolent struggle apartheid
chemistry,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",4,119,method use carbon14 age determination archaeology geology geophysics branches science
physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",0,147,researches concerning resonance absorption gamma radiation discovery connection effect bears name
peace,"""for developing the UN into an effective and constructive international organization capable of giving life to the principles and aims expressed in the UN Charter""",2,163,developing UN effective constructive international organization capable giving life principles aims expressed UN Charter
medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1,81,discoveries physical mechanism stimulation within cochlea
literature,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",3,119,epic force traced themes depicted human destinies drawn history country
chemistry,"""for his research on the carbon dioxide assimilation in plants""",4,63,research carbon dioxide assimilation plants
physics,"""for his pioneering studies of electron scattering in atomic nuclei and for his thereby achieved discoveries concerning the structure of the nucleons""",0,150,pioneering studies electron scattering atomic nuclei thereby achieved discoveries concerning structure nucleons
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1,140,discoveries concerning molecular structure nucleic acids significance information transfer living material
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1,140,discoveries concerning molecular structure nucleic acids significance information transfer living material
medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",1,140,discoveries concerning molecular structure nucleic acids significance information transfer living material
chemistry,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",4,133,research nature chemical bond application elucidation structure complex substances
peace,"""for his fight against the nuclear arms race between East and West""",2,67,fight nuclear arms race East West
chemistry,"""for their studies of the structures of globular proteins""",4,58,studies structures globular proteins
chemistry,"""for their studies of the structures of globular proteins""",4,58,studies structures globular proteins
physics,"""for his pioneering theories for condensed matter especially liquid helium""",0,75,pioneering theories condensed matter especially liquid helium
literature,"""for his realistic and imaginative writings combining as they do sympathetic humour and keen social perception""",3,111,realistic imaginative writings combining sympathetic humour keen social perception
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1,159,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1,159,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",1,159,discoveries concerning ionic mechanisms involved excitation inhibition peripheral central portions nerve cell membrane
physics,"""for their discoveries concerning nuclear shell structure""",0,58,discoveries concerning nuclear shell structure
physics,"""for his contributions to the theory of the atomic nucleus and the elementary particles particularly through the discovery and application of fundamental symmetry principles""",0,174,contributions theory atomic nucleus elementary particles particularly discovery application fundamental symmetry principles
peace,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",2,90,efforts take care wounded soldiers prisoners war families
peace,"""for the great work it has performed during the war on behalf of humanity""",2,74,great work performed war behalf humanity
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",2,83,promoting principles Geneva Convention cooperation UN
peace,"""for promoting the principles of the Geneva Convention and cooperation with the UN""",2,83,promoting principles Geneva Convention cooperation UN
literature,"""for his eminent lyrical writing inspired by a deep feeling for the Hellenic world of culture""",3,94,eminent lyrical writing inspired deep feeling Hellenic world culture
physics,"""for their discoveries concerning nuclear shell structure""",0,58,discoveries concerning nuclear shell structure
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",4,85,discoveries field chemistry technology high polymers
chemistry,"""for their discoveries in the field of the chemistry and technology of high polymers""",4,85,discoveries field chemistry technology high polymers
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",0,157,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
literature,"""for his work which rich in ideas and filled with the spirit of freedom and the quest for truth has exerted a far-reaching influence on our age""",3,144,work rich ideas filled spirit freedom quest truth exerted farreaching influence age
peace,"""for his non-violent struggle for civil rights for the Afro-American population""",2,80,nonviolent struggle civil rights AfroAmerican population
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",0,157,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",1,108,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
physics,"""for fundamental work in the field of quantum electronics which has led to the construction of oscillators and amplifiers based on the maser-laser principle""",0,157,fundamental work field quantum electronics led construction oscillators amplifiers based maserlaser principle
medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",1,108,discoveries concerning mechanism regulation cholesterol fatty acid metabolism
chemistry,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",4,98,determinations Xray techniques structures important biochemical substances
chemistry,"""for his outstanding achievements in the art of organic synthesis""",4,66,outstanding achievements art organic synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1,80,discoveries concerning genetic control enzyme virus synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1,80,discoveries concerning genetic control enzyme virus synthesis
medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",1,80,discoveries concerning genetic control enzyme virus synthesis
peace,"""for its effort to enhance solidarity between nations and reduce the difference between rich and poor states""",2,109,effort enhance solidarity nations reduce difference rich poor states
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",0,128,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
literature,"""for the artistic power and integrity with which in his epic of the Don he has given expression to a historic phase in the life of the Russian people""",3,150,artistic power integrity epic given expression historic phase life Russian people
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",0,128,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
physics,"""for their fundamental work in quantum electrodynamics with deep-ploughing consequences for the physics of elementary particles""",0,128,fundamental work quantum electrodynamics deepploughing consequences physics elementary particles
medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",1,71,discoveries concerning hormonal treatment prostatic cancer
literature,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",3,96,profoundly characteristic narrative art motifs life Jewish people
chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",4,126,fundamental work concerning chemical bonds electronic structure molecules molecular orbital method
medicine,"""for his discovery of tumour-inducing viruses""",1,46,discovery tumourinducing viruses
literature,"""for her outstanding lyrical and dramatic writing which interprets Israel's destiny with touching strength""",3,107,outstanding lyrical dramatic writing interprets Israels destiny touching strength
physics,"""for the discovery and development of optical methods for studying Hertzian resonances in atoms""",0,96,discovery development optical methods studying Hertzian resonances atoms
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1,101,discoveries concerning primary physiological chemical visual processes eye
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1,101,discoveries concerning primary physiological chemical visual processes eye
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",4,135,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
literature,"""for his vivid literary achievement deep-rooted in the national traits and traditions of Indian peoples of Latin America""",3,121,vivid literary achievement deeprooted national traits traditions Indian peoples Latin America
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",4,135,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
chemistry,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",4,135,studies extremely fast chemical reactions effected disturbing equilibrium means short pulses energy
medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",1,101,discoveries concerning primary physiological chemical visual processes eye
physics,"""for his contributions to the theory of nuclear reactions especially his discoveries concerning the energy production in stars""",0,127,contributions theory nuclear reactions especially discoveries concerning energy production stars
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",1,84,interpretation genetic code function protein synthesis
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",1,84,interpretation genetic code function protein synthesis
chemistry,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes""",4,135,discovery reciprocal relations bearing name fundamental thermodynamics irreversible processes
peace,"""for his struggle to ensure the rights of man as stipulated in the UN Declaration""",2,82,struggle ensure rights man stipulated UN Declaration
medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",1,84,interpretation genetic code function protein synthesis
physics,"""for his decisive contributions to elementary particle physics in particular the discovery of a large number of resonance states made possible through his development of the technique of using hydrogen bubble chamber and data analysis""",0,235,decisive contributions elementary particle physics particular discovery large number resonance states made possible development technique using hydrogen bubble chamber data analysis
literature,"""for his narrative mastery which with great sensibility expresses the essence of the Japanese mind""",3,99,narrative mastery great sensibility expresses essence Japanese mind
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",4,108,contributions development concept conformation application chemistry
literature,"""for his writing which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",3,120,writing new forms novel drama destitution modern man acquires elevation
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",5,88,developed applied dynamic models analysis economic processes
physics,"""for his contributions and discoveries concerning the classification of elementary particles and their interactions""",0,116,contributions discoveries concerning classification elementary particles interactions
economics,"""for having developed and applied dynamic models for the analysis of economic processes""",5,88,developed applied dynamic models analysis economic processes
peace,"""for creating international legislation insuring certain norms for working conditions in every country""",2,103,creating international legislation insuring certain norms working conditions every country
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1,97,discoveries concerning replication mechanism genetic structure viruses
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1,97,discoveries concerning replication mechanism genetic structure viruses
medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",1,97,discoveries concerning replication mechanism genetic structure viruses
chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",4,108,contributions development concept conformation application chemistry
physics,"""for fundamental work and discoveries in magnetohydro-dynamics with fruitful applications in different parts of plasma physics""",0,127,fundamental work discoveries magnetohydrodynamics fruitful applications different parts plasma physics
physics,"""for fundamental work and discoveries concerning antiferromagnetism and ferrimagnetism which have led to important applications in solid state physics""",0,151,fundamental work discoveries concerning antiferromagnetism ferrimagnetism led important applications solid state physics
peace,"""for having given a well-founded hope - the green revolution""",2,61,given wellfounded hope green revolution
chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",4,92,discovery sugar nucleotides role biosynthesis carbohydrates
literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",3,100,ethical force pursued indispensable traditions Russian literature
economics,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",5,169,scientific work developed static dynamic economic theory actively contributed raising level analysis economic science
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",1,143,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",1,143,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage release and inactivation""",1,143,discoveries concerning humoral transmitters nerve terminals mechanism storage release inactivation
peace,"""for paving the way for a meaningful dialogue between East and West""",2,68,paving way meaningful dialogue East West
physics,"""for his invention and development of the holographic method""",0,61,invention development holographic method
economics,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",5,171,empirically founded interpretation economic growth led new deepened insight economic social structure process development
chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""",4,117,contributions knowledge electronic structure geometry molecules particularly free radicals
medicine,"""for his discoveries concerning the mechanisms of the action of hormones""",1,73,discoveries concerning mechanisms action hormones
literature,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",3,103,poetry action elemental force brings alive continents destiny dreams
literature,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",3,174,writing combination broad perspective time sensitive skill characterization contributed renewal German literature
medicine,"""for their discoveries concerning the chemical structure of antibodies""",1,71,discoveries concerning chemical structure antibodies
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",0,87,jointly developed theory superconductivity usually called BCStheory
chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,163,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
chemistry,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""",4,140,work ribonuclease especially concerning connection amino acid sequence biologically active conformation
chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",4,163,contribution understanding connection chemical structure catalytic activity active centre ribonuclease molecule
physics,"""for their researches on semiconductors and their discovery of the transistor effect""",0,85,researches semiconductors discovery transistor effect
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",0,87,jointly developed theory superconductivity usually called BCStheory
economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",5,94,pioneering contributions general economic equilibrium theory welfare theory
economics,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",5,94,pioneering contributions general economic equilibrium theory welfare theory
physics,"""for their jointly developed theory of superconductivity usually called the BCS-theory""",0,87,jointly developed theory superconductivity usually called BCStheory
medicine,"""for their discoveries concerning the chemical structure of antibodies""",1,71,discoveries concerning chemical structure antibodies
physics,"""for his theoretical predictions of the properties of a supercurrent through a tunnel barrier in particular those phenomena which are generally known as the Josephson effects""",0,175,theoretical predictions properties supercurrent tunnel barrier particular phenomena generally known Josephson effects
chemistry,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",4,119,pioneering work performed independently chemistry organometallic called sandwich compounds
chemistry,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",4,119,pioneering work performed independently chemistry organometallic called sandwich compounds
peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",2,63,jointly negotiated cease fire Vietnam 1973
economics,"""for the development of the input-output method and for its application to important economic problems""",5,103,development inputoutput method application important economic problems
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1,107,discoveries concerning organization elicitation individual social behaviour patterns
physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",0,117,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
physics,"""for their experimental discoveries regarding tunneling phenomena in semiconductors and superconductors respectively""",0,117,experimental discoveries regarding tunneling phenomena semiconductors superconductors respectively
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1,107,discoveries concerning organization elicitation individual social behaviour patterns
literature,"""for an epic and psychological narrative art which has introduced a new continent into literature""",3,98,epic psychological narrative art introduced new continent literature
peace,"""for jointly having negotiated a cease fire in Vietnam in 1973""",2,63,jointly negotiated cease fire Vietnam 1973
medicine,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",1,107,discoveries concerning organization elicitation individual social behaviour patterns
chemistry,"""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules""",4,116,fundamental achievements theoretical experimental physical chemistry macromolecules
literature,"""for a narrative art far-seeing in lands and ages in the service of freedom""",3,76,narrative art farseeing lands ages service freedom
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",5,181,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
literature,"""for writings that catch the dewdrop and reflect the cosmos""",3,60,writings catch dewdrop reflect cosmos
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",1,89,discoveries concerning structural functional organization cell
physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",0,206,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",0,206,pioneering research radio astrophysics Ryle observations inventions particular aperture synthesis technique Hewish decisive role discovery pulsars
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",1,89,discoveries concerning structural functional organization cell
peace,"""for his contribution to stabilize conditions in the Pacific rim area and for signing the Nuclear Non-Proliferation Treaty""",2,123,contribution stabilize conditions Pacific rim area signing Nuclear NonProliferation Treaty
peace,"""for his efforts to secure and develop human rights throughout the world""",2,73,efforts secure develop human rights throughout world
economics,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",5,181,pioneering work theory money economic fluctuations penetrating analysis interdependence economic social institutional phenomena
medicine,"""for their discoveries concerning the structural and functional organization of the cell""",1,89,discoveries concerning structural functional organization cell
chemistry,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",4,67,work stereochemistry enzymecatalyzed reactions
chemistry,"""for his research into the stereochemistry of organic molecules and reactions""",4,78,research stereochemistry organic molecules reactions
medicine,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",1,110,discoveries concerning interaction tumour viruses genetic material cell
